normalized_feature,datasheet-axis-m3905-r-dome-camera-en-US-506723,h6-xp-dome-camera-datasheet,video-security-cd22-datasheet
the product provides visibility is necessary.,missing,missing,present
the product provides vx52-hw vx52 viewing station $499.,missing,missing,present
"the product provides weight body aluminum, plastic dome trim.",missing,missing,present
"the product provides with ir: 37-57v, 0.23-0.15a, 8.6w.",missing,missing,present
the product provides with ir: ieee 802.3af type 1 poe.,missing,missing,present
the product provides with mount plate.,missing,missing,present
the product provides without mount plate.,missing,missing,present
the product provides www.verkada.com sales@verkada.com 2.,missing,missing,present
the product provides www.verkada.com sales@verkada.com 3.,missing,missing,present
the product provides www.verkada.com sales@verkada.com 4.,missing,missing,present
the product provides www.verkada.com sales@verkada.com 5.,missing,missing,present
the product provides www.verkada.com sales@verkada.com 6.,missing,missing,present
the product provides www.verkada.com sales@verkada.com 7.,missing,missing,present
the product provides wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11.,missing,missing,present
"the product provides ø: 146.0mm / 5.75in, h: 104.3mm / 4.11in.",missing,missing,present
"the product provides ø: 146.0mm / 5.75in, h: 99.8mm / 3.93in.",missing,missing,present
the product provides • 1 / 2.8” progressive cmos image sensor • onboard storage and processing for reduced.,missing,missing,present
the product provides • 10 meters / 33 feet of ir range for nighttime viewing • 30 - 90 days (256gb - 768gb) of onboard storage.,missing,missing,present
the product provides • 3mp resolution bandwidth consumption and coverage at scale.,missing,missing,present
the product provides • onboard cv25s ambarella processor enables people • mounting plate and screw pack included.,missing,missing,present
the product provides • redundant cloud backup and unlimited cloud-based.,missing,missing,present
