feature_key,normalized_feature,capability_label,datasheet-axis-m3905-r-dome-camera-en-US-506723,normalized_feature_h6-xp-dome-camera-datasheet,capability_label_h6-xp-dome-camera-datasheet,h6-xp-dome-camera-datasheet,normalized_feature_video-security-cd22-datasheet,capability_label_video-security-cd22-datasheet,video-security-cd22-datasheet,representative_feature
ieee8021xeaptlspeapmschapv24,"the product provides the product provides ieee802.1x(eap-tls,peap-mschapv2)4,.","The product provides the product provides IEEE802.1x(EAP-TLS,PEAP-MSCHAPv2)4,.",present,,,missing,,,missing,"the product provides the product provides ieee802.1x(eap-tls,peap-mschapv2)4,."
ieee_8023af_type_poe,,,missing,,,missing,the product provides with ir: ieee 802.3af type 1 poe.,The product provides with IR: IEEE 802.3af Type 1 PoE.,present,the product provides with ir: ieee 802.3af type 1 poe.
illumination,,,missing,the product provides the product provides illumination.,The product provides the product provides ILLUMINATION.,present,,,missing,the product provides the product provides illumination.
illumination_poe_irilluminatorwillturnoffifthetemperatureis65c149forhighertheilluminatorwilloperateat50powerand,,,missing,the product provides the product provides ir illumination poe irilluminatorwillturnoffifthetemperatureis65°c(149°f)orhigher.theilluminatorwilloperateat50%powerand.,The product provides the product provides IR Illumination PoE IRilluminatorwillturnoffifthetemperatureis65°C(149°F)orhigher.Theilluminatorwilloperateat50%powerand.,present,,,missing,the product provides the product provides ir illumination poe irilluminatorwillturnoffifthetemperatureis65°c(149°f)orhigher.theilluminatorwilloperateat50%powerand.
illumination_withoutir0003luxinmonochrome_withoutir0004luxinmonochromemode001luxincolormode,,,missing,the product provides the product provides illumination withoutir:0.003luxinmonochrome withoutir:0.004luxinmonochromemode;0.01luxincolormode.,The product provides the product provides Illumination WithoutIR:0.003luxinmonochrome WithoutIR:0.004luxinmonochromemode;0.01luxincolormode.,present,,,missing,the product provides the product provides illumination withoutir:0.003luxinmonochrome withoutir:0.004luxinmonochromemode;0.01luxincolormode.
image_calculated_values_can_differ,"the product provides the product provides the image, and the calculated values can differ from the.","The product provides the product provides the image, and the calculated values can differ from the.",present,,,missing,,,missing,"the product provides the product provides the image, and the calculated values can differ from the."
image_sensor_meters_feet_range_cd22,,,missing,,,missing,"the product provides image sensor and 10 meters / 33 feet of ir range, the cd22 offers reliable visibility for organizations seeking quick and.","The product provides image sensor and 10 meters / 33 feet of IR range, the CD22 offers reliable visibility for organizations seeking quick and.",present,"the product provides image sensor and 10 meters / 33 feet of ir range, the cd22 offers reliable visibility for organizations seeking quick and."
image_sensor_progressive_cmos_shutter_speed,,,missing,,,missing,"the product provides image sensor 1 / 2.8"" progressive cmos shutter speed 1 / 30 sec. to 1 / 10,000 sec.","The product provides image Sensor 1 / 2.8"" Progressive CMOS Shutter Speed 1 / 30 sec. to 1 / 10,000 sec.",present,"the product provides image sensor 1 / 2.8"" progressive cmos shutter speed 1 / 30 sec. to 1 / 10,000 sec."
imagecompressionmethod_h264hdsmsmartcodech265hdsmsmartcodecmotionjpeg,,,missing,"the product provides the product provides imagecompressionmethod h.264hdsmsmartcodec,h.265hdsmsmartcodec,motionjpeg.","The product provides the product provides ImageCompressionMethod H.264HDSMSmartCodec,H.265HDSMSmartCodec,MotionJPEG.",present,,,missing,"the product provides the product provides imagecompressionmethod h.264hdsmsmartcodec,h.265hdsmsmartcodec,motionjpeg."
imagecontrol,,,missing,the product provides the product provides imagecontrol.,The product provides the product provides IMAGECONTROL.,present,,,missing,the product provides the product provides imagecontrol.
imageperformance_40mp_80mp4kultrahd,,,missing,the product provides the product provides imageperformance 4.0mp 8.0mp(4kultrahd).,The product provides the product provides IMAGEPERFORMANCE 4.0MP 8.0MP(4KULTRAHD).,present,,,missing,the product provides the product provides imageperformance 4.0mp 8.0mp(4kultrahd).
imageprocessing,the product provides the product provides imageprocessing.,The product provides the product provides Imageprocessing.,present,,,missing,,,missing,the product provides the product provides imageprocessing.
imagerotation_090180270includingcorridormode,,,missing,"the product provides the product provides imagerotation 0°,90°,180°,270°includingcorridormode.","The product provides the product provides ImageRotation 0°,90°,180°,270°includingCorridorMode.",present,,,missing,"the product provides the product provides imagerotation 0°,90°,180°,270°includingcorridormode."
imagesensor_118progressivescancmos,,,missing,the product provides the product provides imagesensor 1/1.8”progressivescancmos.,The product provides the product provides ImageSensor 1/1.8”progressivescanCMOS.,present,,,missing,the product provides the product provides imagesensor 1/1.8”progressivescancmos.
imagesensor_resolution,the product provides the product provides imagesensor resolution.,The product provides the product provides Imagesensor Resolution.,present,,,missing,,,missing,the product provides the product provides imagesensor resolution.
important_forensic_details_clearly_seeing_nothing,the product provides the product provides important forensic details clearly and seeing nothing but.,The product provides the product provides important forensic details clearly and seeing nothing but.,present,,,missing,,,missing,the product provides the product provides important forensic details clearly and seeing nothing but.
important_forensic_video_stream_while_lowering,the product provides the product provides important forensic in the video stream while lowering.,The product provides the product provides important forensic in the video stream while lowering.,present,,,missing,,,missing,the product provides the product provides important forensic in the video stream while lowering.
inceilingmount_orderoneof,,,missing,the product provides the product provides in-ceilingmount orderoneof:.,The product provides the product provides In-CeilingMount Orderoneof:.,present,,,missing,the product provides the product provides in-ceilingmount orderoneof:.
indicator_included_mount_plate_additionally_mounted,,,missing,,,missing,the product provides indicator. the included mount plate additionally allows the camera to be mounted to a wall or ceiling without any.,The product provides indicator. The included mount plate additionally allows the camera to be mounted to a wall or ceiling without any.,present,the product provides indicator. the included mount plate additionally allows the camera to be mounted to a wall or ceiling without any.
indoor_dome,,,missing,the product provides the product provides indoor dome.,The product provides the product provides Indoor Dome.,present,,,missing,the product provides the product provides indoor dome.
indoor_surveillance_onboard_buses,the product provides the product provides for indoor surveillance onboard buses.,The product provides the product provides For indoor surveillance onboard buses.,present,,,missing,,,missing,the product provides the product provides for indoor surveillance onboard buses.
indoorcamera,the product provides the product provides > indoorcamera.,The product provides the product provides > Indoorcamera.,present,,,missing,,,missing,the product provides the product provides > indoorcamera.
indoordome_outdoordome,,,missing,the product provides the product provides indoordome outdoordome.,The product provides the product provides INDOORDOME OUTDOORDOME.,present,,,missing,the product provides the product provides indoordome outdoordome.
indoororoutdoorinceilingmount,,,missing,the product provides the product provides l indoororoutdoorin-ceilingmount.,The product provides the product provides l Indoororoutdoorin-ceilingmount.,present,,,missing,the product provides the product provides l indoororoutdoorin-ceilingmount.
indoororoutdoorsurfacemount,,,missing,the product provides the product provides l indoororoutdoorsurfacemount.,The product provides the product provides l Indoororoutdoorsurfacemount.,present,,,missing,the product provides the product provides l indoororoutdoorsurfacemount.
information_identified_recorded_sent_full,"the product provides the product provides information is identified, recorded, and sent in full.","The product provides the product provides information is identified, recorded, and sent in full.",present,,,missing,,,missing,"the product provides the product provides information is identified, recorded, and sent in full."
injpoeplus_poe_plus_8023at_type_injector,,,missing,,,missing,"the product provides inj-poe-plus poe plus (802.3at type 2) injector, gige $129.","The product provides iNJ-POE-PLUS PoE Plus (802.3at Type 2) Injector, GigE $129.",present,"the product provides inj-poe-plus poe plus (802.3at type 2) injector, gige $129."
insidevehicles,the product provides the product provides insidevehicles.,The product provides the product provides Insidevehicles.,present,,,missing,,,missing,the product provides the product provides insidevehicles.
installationofthirdpartyapplicationsseeaxiscom,"the product provides the product provides installationofthird-partyapplications,seeaxis.com/.","The product provides the product provides installationofthird-partyapplications,seeaxis.com/.",present,,,missing,,,missing,"the product provides the product provides installationofthird-partyapplications,seeaxis.com/."
integration,the product provides the product provides system integration.,The product provides the product provides System integration.,present,,,missing,,,missing,the product provides the product provides system integration.
intelligencetocovermultipleusecasesallwhilereducing_objectswitheventsupportincludingvansandvarioustrucks,,,missing,"the product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.","The product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.",present,,,missing,"the product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks."
introducemodificationswithoutnotice,the product provides the product provides introducemodificationswithoutnotice.,The product provides the product provides introducemodificationswithoutnotice.,present,,,missing,,,missing,the product provides the product provides introducemodificationswithoutnotice.
iomanualtriggervirtualinput_en6100062ecer10rev06eapprovalen50498,"the product provides the product provides i/o:manualtrigger,virtualinput en61000-6-2,ecer10rev.06(eapproval),en50498,.","The product provides the product provides I/O:manualtrigger,virtualinput EN61000-6-2,ECER10rev.06(Eapproval),EN50498,.",present,,,missing,,,missing,"the product provides the product provides i/o:manualtrigger,virtualinput en61000-6-2,ecer10rev.06(eapproval),en50498,."
ip6667andik10ratedaluminumandpolycarbonate_networkcouplerip66networkcablecouplerindoor,"the product provides the product provides ip66/67-andik10-ratedaluminumandpolycarbonate networkcouplerip66,networkcablecouplerindoor,.","The product provides the product provides IP66/67-andIK10-ratedaluminumandpolycarbonate NetworkcouplerIP66,Networkcablecouplerindoor,.",present,,,missing,,,missing,"the product provides the product provides ip66/67-andik10-ratedaluminumandpolycarbonate networkcouplerip66,networkcablecouplerindoor,."
ipv4ipv6usgv6httphttps2http2tls2qoslayer_notificationhttphttpstcpandemail,"the product provides the product provides ipv4,ipv6usgv6,http,https2,http/2,tls2,qoslayer notification:http,https,tcpandemail.","The product provides the product provides IPv4,IPv6USGv6,HTTP,HTTPS2,HTTP/2,TLS2,QoSLayer Notification:HTTP,HTTPS,TCPandemail.",present,,,missing,,,missing,"the product provides the product provides ipv4,ipv6usgv6,http,https2,http/2,tls2,qoslayer notification:http,https,tcpandemail."
irilluminationmaxdistance2_50m164ftfulltele_70m230ftfulltele,,,missing,the product provides the product provides irilluminationmaxdistance2 50m(164ft)fulltele 70m(230ft)fulltele.,The product provides the product provides IRIlluminationMaxDistance2 50m(164ft)fulltele 70m(230ft)fulltele.,present,,,missing,the product provides the product provides irilluminationmaxdistance2 50m(164ft)fulltele 70m(230ft)fulltele.
iris_fixed_onboard_storage,,,missing,,,missing,the product provides iris fixed onboard storage.,The product provides iris Fixed Onboard Storage.,present,the product provides iris fixed onboard storage.
iriscontrol_automaticopenclosedpiris,,,missing,"the product provides the product provides iriscontrol automatic,open,closed,p-iris.","The product provides the product provides IrisControl Automatic,Open,Closed,P-iris.",present,,,missing,"the product provides the product provides iriscontrol automatic,open,closed,p-iris."
is13252,the product provides the product provides is13252.,The product provides the product provides IS13252.,present,,,missing,,,missing,the product provides the product provides is13252.
its_integrity_protect_sensitive_information,the product provides the product provides its integrity and protect sensitive information from.,The product provides the product provides its integrity and protect sensitive information from.,present,,,missing,,,missing,the product provides the product provides its integrity and protect sensitive information from.
key_features,,,missing,,,missing,the product provides key features.,The product provides key features.,present,the product provides key features.
keystore_critical_buildingblock_protecting,the product provides the product provides keystore is the critical building-block for protecting.,The product provides the product provides keystore is the critical building-block for protecting.,present,,,missing,,,missing,the product provides the product provides keystore is the critical building-block for protecting.
languages,the product provides the product provides languages.,The product provides the product provides Languages.,present,,,missing,,,missing,the product provides the product provides languages.
learn_more_visit_avigiloncom,,,missing,"the product provides the product provides to learn more, visit: avigilon.com.","The product provides the product provides To learn more, visit: avigilon.com.",present,,,missing,"the product provides the product provides to learn more, visit: avigilon.com."
lens,the product provides the product provides lens.,The product provides the product provides Lens.,present,,,missing,,,missing,the product provides the product provides lens.
lens_distortion_correction_ldc_crops_sensor,,,missing,,,missing,"the product provides 2. lens distortion correction (ldc) crops the sensor fi eld of view to deliver a rectifi ed, undistorted output image.","The product provides 2. Lens Distortion Correction (LDC) crops the sensor fi eld of view to deliver a rectifi ed, undistorted output image.",present,"the product provides 2. lens distortion correction (ldc) crops the sensor fi eld of view to deliver a rectifi ed, undistorted output image."
lens_type_fixed_cut_filter_yes,,,missing,,,missing,the product provides lens type fixed ir cut filter yes.,The product provides lens Type Fixed IR Cut Filter Yes.,present,the product provides lens type fixed ir cut filter yes.
lensandir_4493mm_10929mm,,,missing,the product provides the product provides lensandir 4.4-9.3mm 10.9-29mm.,The product provides the product provides LENSANDIR 4.4-9.3MM 10.9-29MM.,present,,,missing,the product provides the product provides lensandir 4.4-9.3mm 10.9-29mm.
lensm126mmf16horizontalfieldofview51,"the product provides the product provides lensm126mm,f1.6:horizontalfieldofview51°.","The product provides the product provides LensM126mm,F1.6:horizontalfieldofview51°.",present,,,missing,,,missing,"the product provides the product provides lensm126mm,f1.6:horizontalfieldofview51°."
lessit_aniothubthat_compatibilitywithzwavedevicessuchasbuttonsandsensors,,,missing,"the product provides less.itincludesaniothubthatprovidescompatibilitywithz-wavedevices,suchasbuttonsandsensors,.","The product provides less.ItincludesanIoThubthatprovidescompatibilitywithZ-Wavedevices,suchasbuttonsandsensors,.",present,,,missing,"the product provides less.itincludesaniothubthatprovidescompatibilitywithz-wavedevices,suchasbuttonsandsensors,."
liccam10ycap_10year_license_capacity_increase_1999,,,missing,,,missing,"the product provides lic-cam-10y-cap 10-year camera license, capacity increase $1,999.","The product provides lIC-CAM-10Y-CAP 10-Year Camera License, Capacity Increase $1,999.",present,"the product provides lic-cam-10y-cap 10-year camera license, capacity increase $1,999."
liccam10yrnw_10year_license_renewal_1999,,,missing,,,missing,"the product provides lic-cam-10y-rnw 10-year camera license, renewal $1,999.","The product provides lIC-CAM-10Y-RNW 10-Year Camera License, Renewal $1,999.",present,"the product provides lic-cam-10y-rnw 10-year camera license, renewal $1,999."
liccam1ycap_1year_license_capacity_increase_219,,,missing,,,missing,"the product provides lic-cam-1y-cap 1-year camera license, capacity increase $219.","The product provides lIC-CAM-1Y-CAP 1-Year Camera License, Capacity Increase $219.",present,"the product provides lic-cam-1y-cap 1-year camera license, capacity increase $219."
liccam1yrnw_1year_license_renewal_219,,,missing,,,missing,"the product provides lic-cam-1y-rnw 1-year camera license, renewal $219.","The product provides lIC-CAM-1Y-RNW 1-Year Camera License, Renewal $219.",present,"the product provides lic-cam-1y-rnw 1-year camera license, renewal $219."
liccam3ycap_3year_license_capacity_increase_599,,,missing,,,missing,"the product provides lic-cam-3y-cap 3-year camera license, capacity increase $599.","The product provides lIC-CAM-3Y-CAP 3-Year Camera License, Capacity Increase $599.",present,"the product provides lic-cam-3y-cap 3-year camera license, capacity increase $599."
liccam3yrnw_3year_license_renewal_599,,,missing,,,missing,"the product provides lic-cam-3y-rnw 3-year camera license, renewal $599.","The product provides lIC-CAM-3Y-RNW 3-Year Camera License, Renewal $599.",present,"the product provides lic-cam-3y-rnw 3-year camera license, renewal $599."
liccam5ycap_5year_license_capacity_increase_999,,,missing,,,missing,"the product provides lic-cam-5y-cap 5-year camera license, capacity increase $999.","The product provides lIC-CAM-5Y-CAP 5-Year Camera License, Capacity Increase $999.",present,"the product provides lic-cam-5y-cap 5-year camera license, capacity increase $999."
liccam5yrnw_5year_license_renewal_999,,,missing,,,missing,"the product provides lic-cam-5y-rnw 5-year camera license, renewal $999.","The product provides lIC-CAM-5Y-RNW 5-Year Camera License, Renewal $999.",present,"the product provides lic-cam-5y-rnw 5-year camera license, renewal $999."
licenselenstool,"the product provides the product provides license,lenstool.","The product provides the product provides license,lenstool.",present,,,missing,,,missing,"the product provides the product provides license,lenstool."
licvx10ycap_10year_viewing_station_license_capacity,,,missing,,,missing,"the product provides lic-vx-10y-cap 10-year viewing station license, capacity increase $3,999.","The product provides lIC-VX-10Y-CAP 10-Year Viewing Station License, Capacity Increase $3,999.",present,"the product provides lic-vx-10y-cap 10-year viewing station license, capacity increase $3,999."
licvx10yrnw_10year_viewing_station_license_renewal,,,missing,,,missing,"the product provides lic-vx-10y-rnw 10-year viewing station license, renewal $3,999.","The product provides lIC-VX-10Y-RNW 10-Year Viewing Station License, Renewal $3,999.",present,"the product provides lic-vx-10y-rnw 10-year viewing station license, renewal $3,999."
licvx1ycap_1year_viewing_station_license_capacity,,,missing,,,missing,"the product provides lic-vx-1y-cap 1-year viewing station license, capacity increase $499.","The product provides lIC-VX-1Y-CAP 1-Year Viewing Station License, Capacity Increase $499.",present,"the product provides lic-vx-1y-cap 1-year viewing station license, capacity increase $499."
licvx1yrnw_1year_viewing_station_license_renewal,,,missing,,,missing,"the product provides lic-vx-1y-rnw 1-year viewing station license, renewal $499.","The product provides lIC-VX-1Y-RNW 1-Year Viewing Station License, Renewal $499.",present,"the product provides lic-vx-1y-rnw 1-year viewing station license, renewal $499."
licvx3ycap_3year_viewing_station_license_capacity,,,missing,,,missing,"the product provides lic-vx-3y-cap 3-year viewing station license, capacity increase $1,299.","The product provides lIC-VX-3Y-CAP 3-Year Viewing Station License, Capacity Increase $1,299.",present,"the product provides lic-vx-3y-cap 3-year viewing station license, capacity increase $1,299."
licvx3yrnw_3year_viewing_station_license_renewal,,,missing,,,missing,"the product provides lic-vx-3y-rnw 3-year viewing station license, renewal $1,299.","The product provides lIC-VX-3Y-RNW 3-Year Viewing Station License, Renewal $1,299.",present,"the product provides lic-vx-3y-rnw 3-year viewing station license, renewal $1,299."
licvx5ycap_5year_viewing_station_license_capacity,,,missing,,,missing,"the product provides lic-vx-5y-cap 5-year viewing station license, capacity increase $1,999.","The product provides lIC-VX-5Y-CAP 5-Year Viewing Station License, Capacity Increase $1,999.",present,"the product provides lic-vx-5y-cap 5-year viewing station license, capacity increase $1,999."
licvx5yrnw_5year_viewing_station_license_renewal,,,missing,,,missing,"the product provides lic-vx-5y-rnw 5-year viewing station license, renewal $1,999.","The product provides lIC-VX-5Y-RNW 5-Year Viewing Station License, Renewal $1,999.",present,"the product provides lic-vx-5y-rnw 5-year viewing station license, renewal $1,999."
lightfinder,the product provides the product provides lightfinder.,The product provides the product provides Lightfinder.,present,,,missing,,,missing,the product provides the product provides lightfinder.
lightfinderandforensicwdr,the product provides the product provides > lightfinderandforensicwdr.,The product provides the product provides > LightfinderandForensicWDR.,present,,,missing,,,missing,the product provides the product provides > lightfinderandforensicwdr.
live_links_face_blur_privacy,,,missing,,,missing,"the product provides live links, live face blur, privacy regions,.","The product provides live links, live face blur, privacy regions,.",present,"the product provides live links, live face blur, privacy regions,."
loudnoise_upto40meters,,,missing,the product provides the product provides loudnoise upto40meters.,The product provides the product provides LoudNoise Upto40meters.,present,,,missing,the product provides the product provides loudnoise upto40meters.
low_light_better_than_human_eye,"the product provides the product provides in low light better than the human eye. in surveillance,.","The product provides the product provides in low light better than the human eye. In surveillance,.",present,,,missing,,,missing,"the product provides the product provides in low light better than the human eye. in surveillance,."
lowlightclarity,,,missing,the product provides the product provides low-lightclarity.,The product provides the product provides Low-lightclarity.,present,,,missing,the product provides the product provides low-lightclarity.
lux_illuminators,,,missing,,,missing,the product provides 0 lux with ir illuminators on.,The product provides 0 lux with IR Illuminators on.,present,the product provides 0 lux with ir illuminators on.
m12mountfixediris,"the product provides the product provides m12mount,fixediris.","The product provides the product provides M12mount,fixediris.",present,,,missing,,,missing,"the product provides the product provides m12mount,fixediris."
m3905raccessories,the product provides the product provides m3905-r#accessories.,The product provides the product provides m3905-r#accessories.,present,,,missing,,,missing,the product provides the product provides m3905-r#accessories.
makes_dark_areas_scene_visible_captures,the product provides the product provides makes dark areas in a scene visible and captures details.,The product provides the product provides makes dark areas in a scene visible and captures details.,present,,,missing,,,missing,the product provides the product provides makes dark areas in a scene visible and captures details.
makingthecameramorepowerfulandreducingownershipcosts,,,missing,the product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.,The product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.,present,,,missing,the product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.
margins_when_planning_pixel_density_varies,the product provides the product provides margins when planning. the pixel density varies across.,The product provides the product provides margins when planning. The pixel density varies across.,present,,,missing,,,missing,the product provides the product provides margins when planning. the pixel density varies across.
markings,the product provides the product provides product markings.,The product provides the product provides Product markings.,present,,,missing,,,missing,the product provides the product provides product markings.
materials,the product provides the product provides materials.,The product provides the product provides Materials.,present,,,missing,,,missing,the product provides the product provides materials.
max_concurrent_streams,,,missing,,,missing,the product provides max concurrent streams: 2.,The product provides max concurrent streams: 2.,present,the product provides max concurrent streams: 2.
maxaperture_f13_f17,,,missing,the product provides the product provides maxaperture f1.3 f1.7.,The product provides the product provides MaxAperture F1.3 F1.7.,present,,,missing,the product provides the product provides maxaperture f1.3 f1.7.
maximagerate_50hz60hz50fps60fpsinhighframerate_50hz60hz25fps30fps,,,missing,the product provides the product provides maximagerate (50hz/60hz):50fps/60fpsinhighframerate (50hz/60hz):25fps/30fps.,The product provides the product provides MaxImageRate (50Hz/60Hz):50fps/60fpsinHighFrameRate (50Hz/60Hz):25fps/30fps.,present,,,missing,the product provides the product provides maximagerate (50hz/60hz):50fps/60fpsinhighframerate (50hz/60hz):25fps/30fps.
maximum_people,,,missing,,,missing,the product provides maximum people/.,The product provides maximum People/.,present,the product provides maximum people/.
maxresolution_primary_1692688x15202560x14401920x1080_1693840x21603328x18723200x18003072x1728,,,missing,"the product provides the product provides maxresolution primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728.","The product provides the product provides MaxResolution Primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728.",present,,,missing,"the product provides the product provides maxresolution primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728."
mechanical,,,missing,,,missing,the product provides mechanical.,The product provides mechanical.,present,the product provides mechanical.
mechanical_surfacemount_inceilingmount_pendantmount,,,missing,the product provides the product provides mechanical surfacemount in-ceilingmount pendantmount.,The product provides the product provides MECHANICAL SURFACEMOUNT IN-CEILINGMOUNT PENDANTMOUNT.,present,,,missing,the product provides the product provides mechanical surfacemount in-ceilingmount pendantmount.
memory,the product provides the product provides memory.,The product provides the product provides Memory.,present,,,missing,,,missing,the product provides the product provides memory.
memory_4gbram4gbflash,,,missing,"the product provides the product provides memory 4gbram,4gbflash.","The product provides the product provides Memory 4GBRAM,4GBFlash.",present,,,missing,"the product provides the product provides memory 4gbram,4gbflash."
meters_feet_range_nighttime_viewing_days,,,missing,,,missing,the product provides • 10 meters / 33 feet of ir range for nighttime viewing • 30 - 90 days (256gb - 768gb) of onboard storage.,The product provides • 10 meters / 33 feet of IR range for nighttime viewing • 30 - 90 days (256GB - 768GB) of onboard storage.,present,the product provides • 10 meters / 33 feet of ir range for nighttime viewing • 30 - 90 days (256gb - 768gb) of onboard storage.
microphone_builtinmicrophoneforaudioanalyticsforcertainvariantswithphysicaldisableswitch,,,missing,"the product provides the product provides microphone built-inmicrophoneforaudioanalytics,forcertainvariants,withphysicaldisableswitch.","The product provides the product provides Microphone Built-inmicrophoneforaudioanalytics,forcertainvariants,withphysicaldisableswitch.",present,,,missing,"the product provides the product provides microphone built-inmicrophoneforaudioanalytics,forcertainvariants,withphysicaldisableswitch."
minimizingmaintenancewhileensuringconsistent,,,missing,the product provides the product provides minimizingmaintenancewhileensuringconsistent.,The product provides the product provides minimizingmaintenancewhileensuringconsistent.,present,,,missing,the product provides the product provides minimizingmaintenancewhileensuringconsistent.
minimum_4mp_withir0luxinmonochromemode,,,missing,the product provides the product provides minimum 4mp withir:0luxinmonochromemode withir:0luxinmonochromemode.,The product provides the product provides Minimum 4MP WithIR:0luxinmonochromemode WithIR:0luxinmonochromemode.,present,,,missing,the product provides the product provides minimum 4mp withir:0luxinmonochromemode withir:0luxinmonochromemode.
minimum_illumination,the product provides the product provides minimum illumination.,The product provides the product provides Minimum illumination.,present,,,missing,,,missing,the product provides the product provides minimum illumination.
minimumfocusdistance03m1ft,the product provides the product provides minimumfocusdistance:0.3m(1ft).,The product provides the product provides Minimumfocusdistance:0.3m(1ft).,present,,,missing,,,missing,the product provides the product provides minimumfocusdistance:0.3m(1ft).
mode,,,missing,the product provides the product provides mode.,The product provides the product provides Mode.,present,,,missing,the product provides the product provides mode.
mode0008luxincolormode,,,missing,the product provides the product provides mode;0.008luxincolormode.,The product provides the product provides mode;0.008luxincolormode.,present,,,missing,the product provides the product provides mode;0.008luxincolormode.
mode002luxincolormode,,,missing,the product provides the product provides mode;0.02luxincolormode.,The product provides the product provides mode;0.02luxincolormode.,present,,,missing,the product provides the product provides mode;0.02luxincolormode.
mode1otherwise25fps30fps,,,missing,"the product provides the product provides mode1,otherwise25fps/30fps.","The product provides the product provides Mode1,otherwise25fps/30fps.",present,,,missing,"the product provides the product provides mode1,otherwise25fps/30fps."
mode_person,,,missing,the product provides the product provides mode person.,The product provides the product provides Mode Person.,present,,,missing,the product provides the product provides mode person.
mode_timelapse_rtsp,,,missing,,,missing,"the product provides mode, timelapse, rtsp.","The product provides mode, timelapse, RTSP.",present,"the product provides mode, timelapse, rtsp."
model,the product provides the product provides model.,The product provides the product provides Model.,present,,,missing,,,missing,the product provides the product provides model.
model_number_description_cost_msrp_usd,,,missing,,,missing,the product provides model number description cost (msrp) usd.,The product provides model Number Description Cost (MSRP) USD.,present,the product provides model number description cost (msrp) usd.
model_number_mp1_wdr_lens_range,,,missing,,,missing,the product provides model number mp1 wdr lens ir range storage sq onboard vehicle (msrp) usd.,The product provides model Number MP1 WDR Lens IR Range Storage SQ Onboard Vehicle (MSRP) USD.,present,the product provides model number mp1 wdr lens ir range storage sq onboard vehicle (msrp) usd.
model_wdr_lightcatcher_lens_analytics_hdsm,,,missing,the product provides the product provides model mp wdr lightcatcher lens ir analytics hdsm microphone.,The product provides the product provides MODEL MP WDR LIGHTCATCHER LENS IR ANALYTICS HDSM MICROPHONE.,present,,,missing,the product provides the product provides model mp wdr lightcatcher lens ir analytics hdsm microphone.
monitoring_indoor_environments,,,missing,,,missing,the product provides monitoring indoor environments.,The product provides monitoring Indoor Environments.,present,the product provides monitoring indoor environments.
motiondetection_pixelmotionselectablesensitivityandthresholdclassifiedobjectdetection,,,missing,the product provides the product provides motiondetection pixelmotion:selectablesensitivityandthreshold.classifiedobjectdetection.,The product provides the product provides MotionDetection Pixelmotion:Selectablesensitivityandthreshold.Classifiedobjectdetection.,present,,,missing,the product provides the product provides motiondetection pixelmotion:selectablesensitivityandthreshold.classifiedobjectdetection.
motionjpeg,the product provides the product provides camera motionjpeg.,The product provides the product provides Camera MotionJPEG.,present,,,missing,,,missing,the product provides the product provides camera motionjpeg.
motorolasolutionsinc500westmonroestreetchicagoil60661usamotorolasolutionscom,,,missing,"the product provides the product provides motorolasolutions,inc.500westmonroestreet,chicago,il60661u.s.a.motorolasolutions.com.","The product provides the product provides MotorolaSolutions,Inc.500WestMonroeStreet,Chicago,IL60661U.S.A.motorolasolutions.com.",present,,,missing,"the product provides the product provides motorolasolutions,inc.500westmonroestreet,chicago,il60661u.s.a.motorolasolutions.com."
motorolatrademarkholdingsllcandareusedunderlicenseallothertrademarksarethepropertyoftheirrespectiveowners,,,missing,"the product provides the product provides motorolatrademarkholdings,llcandareusedunderlicense.allothertrademarksarethepropertyoftheirrespectiveowners.","The product provides the product provides MotorolaTrademarkHoldings,LLCandareusedunderlicense.Allothertrademarksarethepropertyoftheirrespectiveowners.",present,,,missing,"the product provides the product provides motorolatrademarkholdings,llcandareusedunderlicense.allothertrademarksarethepropertyoftheirrespectiveowners."
mount_plate,,,missing,,,missing,the product provides with mount plate.,The product provides with mount plate.,present,the product provides with mount plate.
mounting,the product provides the product provides mounting.,The product provides the product provides Mounting.,present,,,missing,,,missing,the product provides the product provides mounting.
mountingscenario_orderinginformation,,,missing,the product provides the product provides mountingscenario orderinginformation.,The product provides the product provides MOUNTINGSCENARIO ORDERINGINFORMATION.,present,,,missing,the product provides the product provides mountingscenario orderinginformation.
mountplate_140g_494oz,,,missing,,,missing,the product provides mountplate: 140g / 4.94oz.,The product provides mountplate: 140g / 4.94oz.,present,the product provides mountplate: 140g / 4.94oz.
mqttpublish,the product provides the product provides mqttpublish.,The product provides the product provides MQTTpublish.,present,,,missing,,,missing,the product provides the product provides mqttpublish.
